,IP,A,B,Date&Time,TZ,C,Site,Protocol,Status,Length
0,192.168.1.104,-,-,29/Jun/2020:10:31:31,+0530,GET,/,HTTP/1.1,200,16
1,192.168.1.104,-,-,29/Jun/2020:10:31:32,+0530,GET,/favicon.ico,HTTP/1.1,404,209
2,192.168.1.104,-,-,29/Jun/2020:10:31:39,+0530,GET,/,HTTP/1.1,304,-
3,192.168.1.104,-,-,29/Jun/2020:10:31:40,+0530,GET,/,HTTP/1.1,304,-
4,192.168.1.104,-,-,29/Jun/2020:10:31:41,+0530,GET,/,HTTP/1.1,304,-
5,192.168.1.104,-,-,29/Jun/2020:10:31:42,+0530,GET,/,HTTP/1.1,304,-
6,192.168.1.104,-,-,29/Jun/2020:10:31:42,+0530,GET,/,HTTP/1.1,304,-
7,192.168.1.104,-,-,29/Jun/2020:10:31:43,+0530,GET,/,HTTP/1.1,304,-
8,192.168.1.104,-,-,29/Jun/2020:10:31:43,+0530,GET,/,HTTP/1.1,304,-
9,192.168.1.104,-,-,29/Jun/2020:10:31:44,+0530,GET,/,HTTP/1.1,304,-
10,192.168.1.104,-,-,29/Jun/2020:10:31:44,+0530,GET,/,HTTP/1.1,304,-
